actual,predicted,count
Checking or savings account,"Money transfer, virtual currency, or money service",160
"Money transfer, virtual currency, or money service",Checking or savings account,153
Credit card,Checking or savings account,67
Vehicle loan or lease,"Payday loan, title loan, personal loan, or advance loan",59
Mortgage,"Payday loan, title loan, personal loan, or advance loan",50
"Payday loan, title loan, personal loan, or advance loan",Debt collection,49
Checking or savings account,Credit card,49
"Payday loan, title loan, personal loan, or advance loan",Vehicle loan or lease,48
Debt collection,Credit reporting or other personal consumer reports,41
"Payday loan, title loan, personal loan, or advance loan",Credit reporting or other personal consumer reports,36
Credit card,"Payday loan, title loan, personal loan, or advance loan",33
Debt collection,"Payday loan, title loan, personal loan, or advance loan",32
"Payday loan, title loan, personal loan, or advance loan",Credit card,29
Credit card,Credit reporting or other personal consumer reports,28
Vehicle loan or lease,Credit reporting or other personal consumer reports,28
Credit reporting or other personal consumer reports,Debt collection,27
"Payday loan, title loan, personal loan, or advance loan","Money transfer, virtual currency, or money service",25
"Money transfer, virtual currency, or money service",Credit card,22
Credit card,Debt collection,21
Credit card,"Money transfer, virtual currency, or money service",21
"Payday loan, title loan, personal loan, or advance loan",Checking or savings account,20
Vehicle loan or lease,Debt collection,20
Debt collection,Vehicle loan or lease,19
Debt collection,Credit card,19
"Money transfer, virtual currency, or money service","Payday loan, title loan, personal loan, or advance loan",15
Vehicle loan or lease,Credit card,12
Credit reporting or other personal consumer reports,Credit card,11
Credit reporting or other personal consumer reports,Vehicle loan or lease,11
Checking or savings account,"Payday loan, title loan, personal loan, or advance loan",11
Vehicle loan or lease,Checking or savings account,10
Credit reporting or other personal consumer reports,"Payday loan, title loan, personal loan, or advance loan",9
Checking or savings account,Credit reporting or other personal consumer reports,9
Checking or savings account,Vehicle loan or lease,9
Debt collection,Mortgage,8
Checking or savings account,Mortgage,8
Credit reporting or other personal consumer reports,Checking or savings account,8
Mortgage,Credit reporting or other personal consumer reports,7
Debt collection,Checking or savings account,7
Mortgage,Debt collection,7
Mortgage,Checking or savings account,7
"Payday loan, title loan, personal loan, or advance loan",Mortgage,6
Vehicle loan or lease,Mortgage,6
Checking or savings account,Debt collection,4
Debt collection,"Money transfer, virtual currency, or money service",4
"Money transfer, virtual currency, or money service",Mortgage,3
Credit reporting or other personal consumer reports,Mortgage,3
Credit card,Mortgage,3
Credit card,Vehicle loan or lease,3
Mortgage,Vehicle loan or lease,3
"Money transfer, virtual currency, or money service",Vehicle loan or lease,3
Vehicle loan or lease,"Money transfer, virtual currency, or money service",2
"Money transfer, virtual currency, or money service",Debt collection,2
Credit reporting or other personal consumer reports,"Money transfer, virtual currency, or money service",1
Mortgage,"Money transfer, virtual currency, or money service",1
"Money transfer, virtual currency, or money service",Credit reporting or other personal consumer reports,1
Mortgage,Credit card,1
